iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	13	0	?	48826.043	13.210509
3	17	0	?	63382.947	17.149064
2	21	0	?	76966.588	20.824291
1	33	0	?	122922.130	33.258148
7	13	0	?	51143.054	13.837405
8	12	0	?	43110.498	11.664095
6	28	0	?	102843.826	27.825707
5	47	0	?	172028.378	46.544469
10	15	0	?	57868.588	15.657084
9	29	0	?	104169.956	28.184508
11	27	0	?	100801.709	27.273186
12	12	0	?	47605.004	12.880142
13	13	0	?	45177.984	12.223479
16	8	0	?	27490.645	7.437945
17	18	0	?	67310.822	18.211800
14	29	0	?	108801.500	29.437631
15	24	0	?	86826.774	23.492090
18	20	0	?	72744.499	19.681950
21	5	0	?	20045.082	5.423453
20	14	0	?	51361.718	13.896567
19	29	0	?	105912.311	28.655924
23	31	0	?	115659.377	31.293118
22	35	0	?	130294.843	35.252929
