iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
2	66	0	0	138527.839	37.480471
3	187	0	5	566856.858	153.370338
6	56	0	0	61129.629	16.539400
1	350	124	?	?	?
4	350	124	?	?	?
5	350	124	?	?	?
7	191	0	5	577023.171	156.120962
10	61	0	0	113822.809	30.796210
12	68	0	0	237842.535	64.351326
13	72	0	0	194532.030	52.633117
14	31	0	0	86890.018	23.509201
8	350	124	?	?	?
9	350	124	?	?	?
11	350	124	?	?	?
15	167	0	3	557995.461	150.972772
18	78	0	1	257240.439	69.599684
16	184	0	3	602604.542	163.042327
20	68	0	0	129255.529	34.971730
19	132	0	2	377532.087	102.146112
21	124	0	1	413424.943	111.857380
22	83	0	0	156877.526	42.445212
17	344	0	8	1232419.701	333.446834
24	52	0	1	141690.271	38.336106
