iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	0	0	?	36.084	0.009764
2	0	0	?	34.431	0.009316
3	0	0	?	34.175	0.009247
4	0	0	?	34.716	0.009394
5	0	0	?	34.733	0.009398
6	0	0	?	34.644	0.009374
7	0	0	?	34.753	0.009404
8	0	0	?	36.051	0.009755
9	0	0	?	34.310	0.009283
10	0	0	?	38.865	0.010516
11	0	0	?	34.044	0.009211
12	0	0	?	38.660	0.010461
13	0	0	?	37.338	0.010104
14	0	0	?	34.580	0.009357
15	0	0	?	34.206	0.009255
16	0	0	?	34.717	0.009394
17	0	0	?	36.610	0.009907
18	0	0	?	34.937	0.009454
19	0	0	?	35.411	0.009582
20	0	0	?	34.458	0.009323
