iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
3	172	0	?	635084.051	171.830075
2	224	0	?	826702.573	223.674904
6	16	0	?	60162.762	16.277802
5	248	0	?	918602.830	248.539685
8	55	0	?	203961.362	55.184343
9	96	0	?	352289.172	95.316319
7	422	0	?	1559689.935	421.993960
1	678	0	?	2507405.965	678.410593
4	685	0	?	2532617.068	685.231778
10	127	0	?	470338.541	127.256079
12	101	0	?	371836.637	100.605135
15	100	0	?	368476.321	99.695958
16	90	0	?	333334.657	90.187934
11	334	0	?	1235890.281	334.385843
17	75	0	?	277412.807	75.057566
13	362	0	?	1337373.112	361.843315
14	442	0	?	1634882.948	442.338387
21	25	0	?	91788.844	24.834641
18	204	0	?	752985.577	203.729829
20	162	0	?	598415.837	161.909020
22	102	0	?	374987.352	101.457601
19	308	0	?	1138692.169	308.087657
23	214	0	?	792388.369	214.390759
