iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	298	0	0	33.388	0.009034
4	398	0	0	62.701	0.016965
3	425	0	0	36.040	0.009751
5	397	0	0	33.450	0.009051
2	875	0	0	33.485	0.009060
6	811	0	0	64.404	0.017426
8	596	0	0	33.262	0.009000
10	422	0	0	33.645	0.009104
9	816	0	0	33.529	0.009072
7	1267	0	0	33.457	0.009052
11	772	0	0	63.490	0.017179
13	478	0	0	63.465	0.017172
14	642	0	0	33.278	0.009004
16	496	0	0	33.467	0.009055
12	1044	0	0	33.600	0.009091
15	657	0	0	34.005	0.009201
17	386	0	0	34.400	0.009308
18	537	0	0	63.472	0.017173
21	648	0	0	63.752	0.017249
20	677	0	0	62.890	0.017016
19	944	0	0	32.958	0.008918
22	631	0	0	33.498	0.009064
23	553	0	0	31.754	0.008592
