iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	342	0	0	962219.458	260.340719
4	528	0	0	1461266.527	395.364254
3	739	0	0	1980429.633	535.830440
2	853	0	0	2914169.651	788.465683
7	565	0	0	1412036.100	382.044337
5	1070	0	0	2297066.670	621.500619
6	977	0	0	1488427.699	402.713055
8	766	0	0	1347655.477	364.625340
9	758	0	0	2210781.186	598.154983
10	688	0	0	2229546.067	603.232056
11	686	0	0	1884388.465	509.845279
12	792	0	0	1659583.033	449.021311
13	522	0	0	1492964.578	403.940566
14	935	0	0	2145967.846	580.618910
17	465	0	0	1525967.980	412.870057
15	1025	0	0	3150168.776	852.318250
20	451	0	0	1200760.607	324.881063
18	637	0	0	1087781.930	294.313245
16	1295	0	0	4260135.046	1152.633749
19	986	0	0	1889266.032	511.164968
