iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	329	0	0	17.416	0.004712
3	366	0	0	20.358	0.005509
1	764	0	6	32.436	0.008776
6	482	0	1	17.451	0.004722
5	741	0	4	33.110	0.008959
2	1175	0	9	17.636	0.004772
7	890	0	6	17.339	0.004692
11	299	0	0	17.315	0.004685
9	971	0	5	17.432	0.004717
12	317	0	0	17.640	0.004773
14	341	0	1	33.072	0.008949
13	590	0	2	33.625	0.009098
16	301	0	0	17.502	0.004736
18	870	0	5	33.356	0.009025
20	213	0	0	32.966	0.008920
24	414	0	0	17.268	0.004672
25	737	0	2	33.336	0.009020
32	265	0	0	17.662	0.004779
31	372	0	0	17.090	0.004624
33	436	0	2	33.266	0.009001
34	660	0	3	17.260	0.004670
35	1223	0	10	16.548	0.004478
