iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	49	0	?	181127.980	49.006482
2	72	0	?	267442.849	72.360068
1	101	0	?	372534.351	100.793910
3	103	0	?	380210.217	102.870714
7	25	0	?	94311.835	25.517268
6	65	0	?	243191.320	65.798507
5	96	0	?	354355.656	95.875432
9	46	0	?	167294.786	45.263735
11	30	0	?	109904.493	29.736060
8	75	0	?	277695.791	75.134131
12	38	0	?	140495.556	38.012862
10	96	0	?	353866.493	95.743084
16	7	0	?	25116.074	6.795475
14	94	0	?	348196.690	94.209047
17	43	0	?	161014.929	43.564640
18	66	0	?	241090.453	65.230091
20	28	0	?	103817.435	28.089129
13	213	0	?	787611.287	213.098257
15	230	0	?	849497.196	229.842277
19	165	0	?	610527.958	165.186109
21	183	0	?	675503.694	182.766119
22	185	0	?	683429.195	184.910465
23	143	0	?	528575.273	143.012767
