iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
2	141	0	0	17.332	0.004690
4	186	0	0	17.474	0.004753
5	140	0	0	17.490	0.004732
1	327	0	0	17.586	0.004758
6	158	0	0	17.660	0.004778
3	404	0	0	34.113	0.009230
9	153	0	0	17.549	0.004748
7	277	0	0	17.552	0.004749
8	308	0	0	33.769	0.009137
10	242	0	0	17.234	0.004663
11	177	0	0	17.563	0.004752
13	76	0	0	17.433	0.004717
12	172	0	0	17.558	0.004751
15	134	0	0	17.357	0.004697
14	304	0	0	33.384	0.009033
17	295	0	0	17.414	0.004712
19	157	0	0	33.995	0.009198
18	312	0	0	33.953	0.009187
20	184	0	0	17.410	0.004711
16	582	0	0	17.568	0.004753
23	135	0	0	17.075	0.004620
22	234	0	0	16.913	0.004576
21	447	0	0	16.320	0.004416
