iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	164	0	0	309678.324	83.787416
1	165	0	0	281147.180	76.067952
2	250	0	0	279686.453	75.672728
6	215	0	0	508864.980	137.679897
7	195	0	0	301035.942	81.449106
5	324	0	0	805937.831	218.056738
3	581	0	0	1472714.821	398.461737
9	186	0	0	468384.640	126.727426
8	283	0	0	712538.438	192.786342
10	229	0	0	671169.388	181.593420
11	143	0	0	438969.267	118.768722
12	145	0	0	508098.983	137.472646
14	167	0	0	487190.378	131.815557
15	250	0	0	657006.633	177.761506
16	378	0	0	840671.546	227.454385
17	331	0	0	449717.628	121.676828
13	559	0	0	1723289.065	466.257786
19	200	0	0	610527.067	165.185868
18	383	0	0	1073605.940	290.477749
21	238	0	0	742564.329	200.910230
22	138	0	0	236944.448	64.108337
20	290	0	0	691976.193	187.222966
23	314	0	0	885854.247	239.679139
